,Region,Country of Residence,Age Group,No of Arrivals,Year
436,North-East Asia,Hong Kong,Under 25,142064,2017
437,North-East Asia,Hong Kong,25 - 34,190984,2017
438,North-East Asia,Hong Kong,35 - 44,165840,2017
439,North-East Asia,Hong Kong,45 - 54,150202,2017
440,North-East Asia,Hong Kong,55 - 64,101059,2017
441,North-East Asia,Hong Kong,65 and Over,48311,2017
442,North-East Asia,Hong Kong,Total,1047559,2018
443,North-East Asia,Hong Kong,Under 25,184252,2018
444,North-East Asia,Hong Kong,25 - 34,232430,2018
445,North-East Asia,Hong Kong,35 - 44,213743,2018
446,North-East Asia,Hong Kong,45 - 54,197323,2018
447,North-East Asia,Hong Kong,55 - 64,147204,2018
448,North-East Asia,Hong Kong,65 and Over,72607,2018
449,North-East Asia,Hong Kong,Total,1090121,2019
450,North-East Asia,Hong Kong,Under 25,193263,2019
451,North-East Asia,Hong Kong,25 - 34,240718,2019
452,North-East Asia,Hong Kong,35 - 44,228664,2019
453,North-East Asia,Hong Kong,45 - 54,202223,2019
454,North-East Asia,Hong Kong,55 - 64,151953,2019
455,North-East Asia,Hong Kong,65 and Over,73300,2019
456,North-East Asia,Hong Kong,Total,131988,2020
457,North-East Asia,Hong Kong,Under 25,22724,2020
458,North-East Asia,Hong Kong,25 - 34,28453,2020
459,North-East Asia,Hong Kong,35 - 44,27127,2020
460,North-East Asia,Hong Kong,45 - 54,23466,2020
461,North-East Asia,Hong Kong,55 - 64,20020,2020
462,North-East Asia,Hong Kong,65 and Over,10198,2020
463,North-East Asia,Japan,Total,1349388,2015
464,North-East Asia,Japan,Under 25,132436,2015
465,North-East Asia,Japan,25 - 34,192208,2015
466,North-East Asia,Japan,35 - 44,298411,2015
467,North-East Asia,Japan,45 - 54,348139,2015
468,North-East Asia,Japan,55 - 64,250727,2015
469,North-East Asia,Japan,65 and Over,127467,2015
470,North-East Asia,Japan,Total,1416903,2016
471,North-East Asia,Japan,Under 25,179164,2016
472,North-East Asia,Japan,25 - 34,249148,2016
473,North-East Asia,Japan,35 - 44,304500,2016
474,North-East Asia,Japan,45 - 54,331401,2016
475,North-East Asia,Japan,55 - 64,222140,2016
476,North-East Asia,Japan,65 and Over,130550,2016
477,North-East Asia,Japan,Total,1525707,2017
478,North-East Asia,Japan,Under 25,196348,2017
479,North-East Asia,Japan,25 - 34,261814,2017
480,North-East Asia,Japan,35 - 44,314507,2017
481,North-East Asia,Japan,45 - 54,354703,2017
482,North-East Asia,Japan,55 - 64,242036,2017
483,North-East Asia,Japan,65 and Over,156299,2017
484,North-East Asia,Japan,Total,1642712,2018
485,North-East Asia,Japan,Under 25,223160,2018
486,North-East Asia,Japan,25 - 34,287638,2018
487,North-East Asia,Japan,35 - 44,320040,2018
488,North-East Asia,Japan,45 - 54,369878,2018
489,North-East Asia,Japan,55 - 64,263619,2018
490,North-East Asia,Japan,65 and Over,178377,2018
491,North-East Asia,Japan,Total,1787185,2019
492,North-East Asia,Japan,Under 25,265252,2019
493,North-East Asia,Japan,25 - 34,314285,2019
494,North-East Asia,Japan,35 - 44,343750,2019
495,North-East Asia,Japan,45 - 54,400008,2019
496,North-East Asia,Japan,55 - 64,282234,2019
497,North-East Asia,Japan,65 and Over,181656,2019
498,North-East Asia,Japan,Total,314044,2020
499,North-East Asia,Japan,Under 25,47790,2020
500,North-East Asia,Japan,25 - 34,47080,2020
501,North-East Asia,Japan,35 - 44,53269,2020
502,North-East Asia,Japan,45 - 54,66543,2020
503,North-East Asia,Japan,55 - 64,56146,2020
504,North-East Asia,Japan,65 and Over,43216,2020
505,North-East Asia,Korea,Total,1359211,2015
506,North-East Asia,Korea,Under 25,191666,2015
507,North-East Asia,Korea,25 - 34,323384,2015
508,North-East Asia,Korea,35 - 44,294022,2015
509,North-East Asia,Korea,45 - 54,279156,2015
510,North-East Asia,Korea,55 - 64,205896,2015
511,North-East Asia,Korea,65 and Over,65087,2015
512,North-East Asia,Korea,Total,1449617,2016
513,North-East Asia,Korea,Under 25,256996,2016
514,North-East Asia,Korea,25 - 34,414820,2016
515,North-East Asia,Korea,35 - 44,272093,2016
516,North-East Asia,Korea,45 - 54,244925,2016
517,North-East Asia,Korea,55 - 64,185748,2016
518,North-East Asia,Korea,65 and Over,75035,2016
519,North-East Asia,Korea,Total,1698608,2017
520,North-East Asia,Korea,Under 25,279516,2017
521,North-East Asia,Korea,25 - 34,397856,2017
522,North-East Asia,Korea,35 - 44,347807,2017
523,North-East Asia,Korea,45 - 54,318418,2017
524,North-East Asia,Korea,55 - 64,255184,2017
525,North-East Asia,Korea,65 and Over,99827,2017
526,North-East Asia,Korea,Total,1785147,2018
527,North-East Asia,Korea,Under 25,272551,2018
528,North-East Asia,Korea,25 - 34,410975,2018
529,North-East Asia,Korea,35 - 44,371712,2018
530,North-East Asia,Korea,45 - 54,333471,2018
531,North-East Asia,Korea,55 - 64,282490,2018
532,North-East Asia,Korea,65 and Over,113948,2018
533,North-East Asia,Korea,Total,1880465,2019
534,North-East Asia,Korea,Under 25,304440,2019
535,North-East Asia,Korea,25 - 34,404694,2019
536,North-East Asia,Korea,35 - 44,379734,2019
537,North-East Asia,Korea,45 - 54,359352,2019
538,North-East Asia,Korea,55 - 64,307405,2019
539,North-East Asia,Korea,65 and Over,124840,2019
540,North-East Asia,Korea,Total,262313,2020
541,North-East Asia,Korea,Under 25,43636,2020
542,North-East Asia,Korea,25 - 34,42711,2020
